place_id,place_name,address,r_library,r_kidcafe,r_play,r_park,r_house
211,와룡근린공원,서울특별시 종로구 와룡공원길 192 (우) 03063,0,0,0,1,0
212,봉화산근린공원,서울특별시 중랑구 묵동 산46-1,0,0,0,1,0
213,북악산도시자연공원,서울특별시 종로구 부암동 산2-6,0,0,0,1,0
214,북한산국립공원,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,0,0,0,1,0
215,외국인묘지공원,서울특별시 마포구 양화진길 46(외국인묘지공원),0,0,0,1,0
216,불광근린공원,서울특별시 은평구 불광동 산33-1,0,0,0,1,0
217,불암산도시자연공원,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,0,0,0,1,0
218,용마폭포공원,서울특별시 중랑구 면목동 산1-4 ,0,0,0,1,0
219,사육신공원,서울특별시 동작구 노량진로 191,0,0,0,1,0
220,용왕산근린공원,서울특별시 양천구 목동 199-51,0,0,0,1,0
221,사직근린공원,서울특별시 종로구 사직로9길 5,0,0,0,1,0
222,우장산근린공원,서울특별시 강서구 내발산동 산4-5,0,0,0,1,0
223,삼일근린공원,서울특별시 동작구 사당동 산24-17,0,0,0,1,0
224,삼청근린공원,서울특별시 종로구 북촌로 134-1 (우) 03050,0,0,0,1,0
225,인왕산도시자연공원,서울특별시 종로구 옥인동 산 3-1 ,0,0,0,1,0
226,상도근린공원,서울특별시 동작구 성대로6사길 27-6(상도공원) ,0,0,0,1,0
227,일자산도시자연공원,서울특별시 강동구 동남로 660(일자산공원),0,0,0,1,0
228,쌍문근린공원,서울특별시 도봉구 쌍문동 산80,0,0,0,1,0
229,수락산도시자연공원,서울특별시 노원구 상계동 산3-1,0,0,0,1,0
230,송파나루근린공원(석촌호수),서울특별시 송파구 잠실로 148 (잠실동) ,0,0,0,1,0
231,선유도근린공원,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,0,0,0,1,0
232,손기정체육공원,서울특별시 중구 손기정로 101 ,0,0,0,1,0
233,성북근린공원,서울특별시 성북구 돈암동 616-1055,0,0,0,1,0
234,봉제산공원,서울특별시 강서구 화곡동 산41-6,0,0,0,1,0
235,서울창포원,서울특별시 도봉구 마들로 916(서울창포원) ,0,0,0,1,0
236,북서울꿈의숲,서울특별시 강북구 월계로 173,0,0,0,1,0
237,서서울호수공원,서울특별시 양천구 남부순환로64길 20 (신월동),0,0,0,1,0
238,중랑캠핑숲,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),0,0,0,1,0
239,솔밭근린공원,서울특별시 강북구 우이동 80번지 일대,0,0,0,1,0
240,금천체육공원(관악산),서울특별시 금천구 독산동 산118-4(금천체육공원),0,0,0,1,0
241,금천폭포근린공원,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),0,0,0,1,0
242,만수천공원(관악산),서울특별시 금천구 독산동 산8 일대,0,0,0,1,0
